"","company","year","latitude","longitude","variable_code"
"1","SWAIN COMMUNITY HOSPITAL",2020,35.434612,-83.444836,"Count of Hospitals"
"2","HAYWOOD REGIONAL MEDICAL CTR",2020,35.525312,-82.943675,"Count of Hospitals"
"3","CENTRAL REGIONAL HOSPITAL",2020,36.145482,-78.771853,"Count of Hospitals"
"4","CHEROKEE INDIAN HOSP URGENT",2020,35.4962,-83.2961,"Count of Hospitals"
"5","MARIA PARHAM HEALTH",2020,36.331043,-78.44915,"Count of Hospitals"
"6","CHEROKEE INDIAN HOSPITAL",2020,35.4962,-83.2961,"Count of Hospitals"
"7","GRANVILLE HEALTH SYSTEM",2020,36.326532,-78.592555,"Count of Hospitals"
"8","H O P E REGIONAL MEDICAL CTR",2020,36.317072,-78.425352,"Count of Hospitals"
"9","SWAIN COMMUNITY HOSPITAL",2021,35.434612,-83.444836,"Count of Hospitals"
"10","HAYWOOD REGIONAL MEDICAL CTR",2021,35.525312,-82.943675,"Count of Hospitals"
"11","CENTRAL REGIONAL HOSPITAL",2021,36.145482,-78.771853,"Count of Hospitals"
"12","MARIA PARHAM HEALTH",2021,36.331043,-78.44915,"Count of Hospitals"
"13","CHEROKEE INDIAN HOSPITAL",2021,35.4962,-83.2961,"Count of Hospitals"
"14","GRANVILLE HEALTH SYSTEM",2021,36.326532,-78.592555,"Count of Hospitals"
"15","H O P E REGIONAL MEDICAL CTR",2021,36.317072,-78.425352,"Count of Hospitals"
"16","SWAIN COMMUNITY HOSPITAL",2022,35.434612,-83.444836,"Count of Hospitals"
"17","HAYWOOD REGIONAL MEDICAL CTR",2022,35.525312,-82.943675,"Count of Hospitals"
"18","CENTRAL REGIONAL HOSPITAL",2022,36.145482,-78.771853,"Count of Hospitals"
"19","HOLLY HILL HOSPITAL",2022,36.3237,-78.4094,"Count of Hospitals"
"20","MARIA PARHAM HEALTH",2022,36.331043,-78.44915,"Count of Hospitals"
"21","CHEROKEE INDIAN HOSPITAL",2022,35.4962,-83.2961,"Count of Hospitals"
"22","GRANVILLE HEALTH SYSTEM",2022,36.326532,-78.592555,"Count of Hospitals"
"23","SWAIN COMMUNITY HOSPITAL",2023,35.434537,-83.444735,"Count of Hospitals"
